Account,total_pnl,avg_daily_pnl,pnl_volatility,active_days,avg_win_rate,total_trades,avg_daily_trades,avg_trade_size,avg_ls_ratio,frequency_segment,size_segment,consistency_cv,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,965588.745995,120698.593249375,226357.0775129546,8,0.4219120336234325,2486,310.75,37473.09809030792,2.8453536971325777,Frequent,Large Positions,1.8753756447652876,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,14102.674084000002,1282.0612803636366,2450.81559515971,11,0.3177862471989648,1192,108.36363636363636,6330.878397402374,1.4999421452491628,Frequent,Large Positions,1.9101313652494574,Consistent
0x271b280974205ca63b716753467d5a371de622ab,208.81746,208.81746,,1,0.75,4,4.0,39530.9875,3.0,Infrequent,Large Positions,,Inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,58534.883527,1888.2220492580645,3369.1192504660335,31,0.4755107181978046,2737,88.29032258064517,451.8511229135194,2.657136853936212,Frequent,Small Positions,1.7833368246941403,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,43040.784276,2869.3856184,4887.9739381524105,15,0.4328309135180174,378,25.2,2475.001374569186,0.7167231861705546,Infrequent,Small Positions,1.702898003257502,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,229.32172699999998,22.9321727,67.88499177537582,10,0.0962962962962963,51,5.1,2326.810085858586,0.0673076923076923,Infrequent,Small Positions,2.8365578264181517,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,-4320.315052000001,-332.33192707692314,2981.834590556333,13,0.29945054945054944,297,22.846153846153847,9991.048787557422,0.34761904761904766,Infrequent,Large Positions,8.945541510844276,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1536.976938,170.77521533333334,236.44439291428097,9,0.3652777777777778,44,4.888888888888889,15571.004694444444,0.2803030303030303,Infrequent,Large Positions,1.376475601881539,Consistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,1762.46,881.23,1246.2474175700427,2,0.5,55,27.5,8712.367888888888,0.0,Infrequent,Large Positions,1.4126105636512505,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.0,6,0.0,6,1.0,0.5483333333333333,0.0,Infrequent,Small Positions,0.0,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,15065.117094,502.17056979999995,797.8371369761032,30,0.3184582024093811,2338,77.93333333333334,534.5363150148266,2.2728109945619748,Frequent,Small Positions,1.5856196384721533,Consistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,444.205198,88.8410396,198.65460373735073,5,0.125,301,60.2,15695.361402232931,1.6666666666666667,Frequent,Large Positions,2.2111788178523115,Inconsistent
